id,first_name,last_name,num_reviews,avg_review,img_problems,type,num_previous_clients,days_since_login,age,years_experience,score
515,Robert,Keegan,1,4.48,1,1,1,4,20,7,17.92
154,Susie,Johnson,1,4.68,7,1,1,1,44,12,17.7993
182,Roxana,Nelson,2,3.79,3,2,3,46,35,11,17.7691
19,Kristina,Harp,1,3.36,2,2,0,35,50,13,17.696
439,Todd,Johnson,3,4.67,5,1,1,0,30,10,17.6611
50,Irena,Hilton,2,3.54,7,2,2,20,24,14,17.6487
147,Nicholas,Stillwell,3,4.76,0,1,4,0,49,3,17.612
293,Bette,Dew,3,4.99,0,1,0,35,35,9,17.3726
517,Nicole,Tow,2,4.44,7,1,1,1,22,12,16.8866
38,Laura,Martin,3,4.55,5,2,0,35,22,8,16.8812
591,Meredith,Mead,2,4.56,6,2,1,35,43,8,16.72
350,John,Godfrey,1,4.25,1,1,5,4,23,4,16.6047
171,Karen,Black,3,3.06,2,2,2,5,28,6,16.4974
305,Grady,Tunnell,1,4.61,5,2,0,8,49,4,16.4756
460,Darla,Simonson,3,3.88,4,2,0,7,44,6,16.4263
321,Shirl,Malone,1,4.63,4,0,2,2,41,14,16.3831
159,Marie,White,1,4.06,6,2,0,14,22,8,16.3421
297,Christina,Marino,1,3.56,3,1,0,1,50,12,16.2743
119,Erwin,Ames,2,4.52,0,2,4,120,54,8,16.272
151,Stephen,Camilli,3,4.52,1,2,1,35,28,3,16.1768
392,John,Barginear,2,3.5,2,1,0,6,25,11,16.1304
114,Greg,Miller,2,4.13,0,2,0,35,23,4,15.9081
198,Regina,Pruitt,1,4.3,4,1,0,0,26,9,15.5462
519,Chris,Starkey,3,4.29,4,2,2,8,51,2,15.5435
8,Stuart,Wiseman,3,3.13,2,2,0,8,54,7,15.5228
45,Edward,Green,1,3.66,5,1,1,0,44,12,15.4385
290,George,Hamilton,1,3.96,7,2,1,17,26,8,15.4195
234,Sarah,Holt,2,3.31,6,2,0,2,53,9,15.2945
496,William,Schafer,3,3.57,3,2,1,26,39,7,15.1455
508,Lena,Vargas,3,3.64,4,2,1,0,31,4,15.12
579,Mary,Nattiah,1,3.5,0,0,2,1,29,13,15.05
415,Ryan,Doran,1,3.68,1,0,5,4,35,11,14.72
546,Steven,Smith,1,4.62,3,1,0,17,29,8,14.572
90,Richard,Grinstead,1,4.06,7,2,1,7,23,5,14.5091
240,Rachel,Waldman,3,4.72,6,2,1,120,40,11,14.449
306,Lois,Estrada,2,3.47,1,1,0,35,37,13,14.367
449,Arthur,Meluso,1,4.55,2,1,2,0,36,4,14.2435
458,Gary,Pedersen,3,2.39,0,2,2,6,38,5,14.101
37,Marjorie,Morse,2,2.18,2,2,0,5,42,11,13.8383
370,William,Leach,1,3.45,3,1,1,4,29,9,13.8
111,Joan,Jewell,1,3.55,7,1,0,0,38,13,13.7344
129,Lisa,Graham,3,3.64,4,1,4,0,53,7,13.72
492,John,Ammons,2,4.28,5,1,0,4,45,8,13.696
336,Ruth,Sanders,3,3.89,3,1,1,3,48,7,13.6547
183,Julie,Yates,1,2.4,1,2,0,0,19,7,13.6186
397,Enoch,Mclaughlin,3,4.87,1,0,0,1,30,10,13.5907
18,Jessica,Garrett,1,3.15,4,1,0,0,36,12,13.5692
387,Gregory,Warner,1,2.6,2,2,4,5,22,4,13.5652
143,Carlos,Coleman,3,4.05,7,1,5,2,51,7,13.5443
523,Laverne,Moyer,3,3.07,3,1,2,6,40,10,13.5331
486,Terrence,Sealy,3,4.88,5,1,0,1,53,6,13.4865
213,Santana,Hickman,2,4.28,2,1,2,2,49,4,13.3983
400,Lashay,Davies,2,2.01,2,2,0,3,24,12,13.2835
212,Diana,Gutshall,1,4.93,3,1,5,2,52,1,13.2808
235,Sheri,Base,3,3.23,0,1,0,3,53,7,13.243
34,Joann,Elliott,2,4.08,1,1,0,20,53,7,13.12
206,James,Kelly,1,3.11,6,2,3,5,31,5,13.0834
281,Nettie,Loredo,2,2.41,0,2,0,8,36,6,12.9426
172,Danielle,Robledo,3,4.38,7,1,0,7,46,9,12.9066
149,Pamela,Seyler,3,2.14,1,2,0,0,53,8,12.7405
339,Tommy,Dillon,2,1.68,3,2,5,1,35,14,12.6171
593,Jimmy,Rhee,3,3.81,4,2,0,0,37,1,12.6023
586,John,Fobes,3,2.74,7,2,0,3,23,10,12.577
343,Thomas,Darlington,2,1.71,0,2,0,1,37,11,12.483
4,Faith,Smykowski,2,4.46,3,0,2,0,50,10,12.3788
24,Michael,Mordino,2,2.99,6,1,2,1,46,12,12.3724
44,George,Olsen,3,4.21,3,1,4,14,41,4,12.337
448,John,Bathke,3,2.76,2,2,4,6,21,1,12.24
587,David,Diaz,3,3.93,0,0,5,2,37,7,12.183
10,Autumn,Grant,2,3.14,5,2,2,4,29,3,12.1033
118,Carrie,Wilson,3,2.79,7,1,5,0,38,12,12.0748
179,Kelly,Vanschaick,1,4.19,1,1,0,14,31,5,12.07
450,Stacey,Bernard,1,3.3,6,1,0,2,52,11,12.0621
505,Nancy,White,1,3.56,4,0,4,5,19,12,12.0492
286,Vicki,Escobedo,1,3.46,2,1,1,5,43,6,12.0348
93,Donald,Wade,2,3.01,6,1,0,11,48,14,11.9628
442,Crystal,Stricklin,2,3.19,5,2,0,26,26,7,11.9015
298,Iris,Boyd,3,3.3,1,1,0,7,49,7,11.8166
565,Glenda,Armstrong,1,3.23,5,2,0,0,45,3,11.5105
346,Kathleen,Daniels,2,3.65,2,0,0,0,26,12,11.4261
303,James,Hill,3,3.44,4,2,0,72,24,9,11.4099
551,Kenneth,Wilson,1,3.05,4,1,1,26,34,12,11.3397
529,David,Moats,1,3.8,5,0,4,1,44,11,11.3309
89,Opal,Hook,2,1.71,0,2,1,0,26,8,11.286
142,Martha,Blunt,1,3.04,6,2,0,46,22,10,11.1414
21,Rachel,Agosto,1,3.91,4,0,0,7,52,13,11.1307
338,Jamie,Eckstein,2,4.79,6,1,2,11,22,4,11.0538
225,Dean,Culbreth,2,3.65,7,1,1,0,50,8,11.0098
584,Virginia,Guenther,3,2.31,3,2,0,26,38,10,10.8889
470,Kenneth,Havlik,2,2.66,1,0,1,2,45,14,10.8874
443,Kenneth,Wong,1,2.54,4,1,4,1,24,9,10.7462
29,Margaret,Carpenter,1,2.93,4,2,2,7,34,2,10.6934
257,Chuck,Jones,1,2.01,6,2,2,5,51,11,10.6738
544,Lesley,Laverdiere,3,3.31,0,1,0,2,31,4,10.592
589,Dena,Wang,1,4.05,3,1,0,0,22,4,10.5796
22,Victoria,Sepulveda,3,1.98,3,2,1,7,19,9,10.5498
319,Edna,Babcock,2,2.67,3,2,1,8,49,3,10.4345
128,Irene,Pursifull,1,3.46,0,0,0,2,42,10,10.38
328,John,Pate,3,3.06,5,1,0,20,46,11,10.2971
420,Marjorie,Schaefer,1,2.82,5,2,2,0,50,2,10.2545
186,Paul,Huntley,1,2.74,5,2,0,35,42,8,10.1658
26,Emile,Carson,1,3.75,1,1,0,0,20,3,10.1163
122,Lavone,Turner,3,3.01,0,0,0,8,21,12,10.0333
376,Joseph,Korn,2,3.33,4,1,0,46,43,11,10.0278
150,Lisa,Salamanca,3,4.1,4,1,0,26,27,6,9.9872
365,Jennifer,Giesen,3,1.78,0,1,0,0,53,12,9.968
99,Tia,Stewart,3,3.33,1,1,0,20,37,6,9.9247
115,Florence,Hagedorn,3,3.29,7,2,0,3,53,2,9.9239
347,Diana,Clark,2,2.27,3,1,0,1,33,11,9.8212
58,Diane,Zanella,2,3.72,6,0,2,20,52,13,9.6945
556,Emma,Whitcomb,3,2.41,5,1,0,17,30,14,9.6712
396,Joseph,Jackson,3,2.54,0,1,0,1,53,6,9.652
334,Kevin,Ackerson,1,3.61,0,1,0,20,25,4,9.6267
323,Kim,Mccommons,2,3.9,6,0,0,14,50,13,9.566
329,Susan,Clark,1,3.54,4,0,0,26,50,14,9.5308
249,Alvin,Turner,2,3.22,2,1,4,5,38,2,9.52
344,Charles,Standley,3,2.71,5,1,0,14,34,11,9.4805
440,Melinda,Roehrig,3,4.42,2,1,0,35,24,4,9.4293
374,Gregory,Worden,2,4.58,6,1,0,11,40,4,9.3949
484,John,Jesus,2,2.67,6,1,2,6,25,9,9.391
416,Charles,Kuter,1,1.75,4,2,2,8,33,10,9.3841
540,Derek,Pierce,2,2.72,6,1,0,0,48,10,9.3793
193,Nikki,Mills,1,3.96,6,0,0,7,29,12,9.3789
406,Roselee,Motte,2,4.53,6,0,0,1,49,10,9.3724
146,Hector,Wesley,1,2.59,3,1,0,5,38,8,9.3029
294,Grace,Mustard,3,3.17,3,1,0,7,31,6,9.3019
359,Eric,Smith,1,4.97,6,0,0,35,33,11,9.1117
28,Richard,Stivers,1,2.65,5,2,0,14,47,4,9.0957
436,Doris,Abner,3,2.44,0,1,1,8,44,6,9.037
598,Thomas,Stark,2,4.72,5,0,0,35,43,11,9.0296
536,Gary,Orosco,1,2.87,4,2,0,7,25,1,9.008
60,Paul,Gober,2,2.42,1,0,2,0,20,12,9.0047
562,Edna,Grant,3,3.22,1,0,0,6,49,10,8.986
547,Peter,Stewart,2,2.4,7,2,1,8,36,6,8.972
352,Jeffery,Smith,3,4.59,3,1,0,26,54,3,8.9636
222,Jeanine,Colon,1,2.65,0,2,0,72,37,6,8.936
65,Vincent,Bullock,2,4.97,6,1,0,1,23,2,8.9117
383,Samuel,Haughney,3,2.63,4,0,4,0,32,12,8.9015
377,Hazel,Brymer,3,3.57,3,1,0,7,47,4,8.8216
285,Michael,Wilson,1,4.87,0,0,0,0,50,6,8.766
121,Rebecca,Nenno,3,1.59,4,2,0,8,31,12,8.7565
572,Charles,Krzeczkowski,2,2.53,1,0,0,14,31,14,8.7457
295,Michele,Davis,1,3.23,7,2,1,14,53,1,8.7297
465,Maria,Monte,1,2.95,2,1,1,11,46,5,8.6627
39,Louis,Hayes,1,2.07,2,2,1,8,28,3,8.5829
528,Grace,Smith,1,3.27,6,1,0,35,32,9,8.5383
427,Danny,Clevenger,2,3.82,1,0,3,1,39,6,8.5284
430,Donald,Hood,1,3.93,5,1,1,20,22,4,8.4838
56,Lamar,Smith,1,4.71,0,0,0,0,28,6,8.478
535,Sergio,Buco,1,3.92,5,0,4,11,40,8,8.4471
568,Rashad,Berry,3,3.66,7,1,0,0,22,5,8.4
204,Jean,Prentice,1,1.96,4,2,0,20,33,8,8.3627
69,Daniel,Gunderman,3,3.32,0,0,5,2,38,5,8.3
176,Natasha,Bellman,1,3.32,6,1,0,7,27,6,8.3
25,Jennifer,Jones,2,4.36,7,1,0,2,46,3,8.2911
574,John,Stanley,2,3.7,1,0,0,2,41,8,8.2605
6,Jennifer,Weaver,1,4.22,5,1,0,72,30,7,8.2587
355,Robert,Gillette,3,2.38,6,2,2,0,40,2,8.2069
272,Lynn,Sutton,1,2.73,4,1,2,11,49,6,8.1319
13,Bryan,Martinez,3,3.1,2,0,1,8,33,10,8.065
409,Ray,Withers,2,3.3,4,2,0,46,28,1,8.0625
499,Eric,Brinegar,3,2.3,0,1,0,1,26,5,8.05
384,Kathleen,Oslund,3,2.17,3,1,2,8,36,8,7.9816
452,Amanda,Chavez,3,2.39,6,1,1,11,54,10,7.9667
455,Suzanne,Ketchum,2,3.93,1,0,5,17,43,5,7.8916
55,Alice,Montgomery,3,3.65,4,0,1,7,32,9,7.7263
224,Ryan,Perry,3,2.1,2,0,0,2,48,14,7.6696
403,Laura,Lott,3,4.32,1,0,5,0,20,3,7.6353
533,Norma,Janeway,1,2.77,5,1,0,35,43,9,7.5472
516,Steven,Valazquez,2,1.92,6,2,0,26,22,9,7.5228
489,Frieda,Ollis,1,1.81,5,2,4,5,46,3,7.5033
504,Harold,Lazaroff,1,4.98,6,1,0,8,22,1,7.4863
454,Robert,Marquis,1,3.24,0,1,0,1,34,1,7.452
116,Carmen,Himes,3,1.69,1,1,0,20,47,12,7.4227
476,Thomas,Moore,1,1.5,1,1,2,14,20,12,7.4074
571,Nestor,Hernandez,3,1.61,2,2,0,1,54,4,7.28
54,Zachary,Russell,1,3.09,7,0,0,26,24,14,7.2706
317,Valerie,Sesco,2,3.17,3,0,2,0,35,8,7.2457
325,Alfredo,Scott,1,3.54,5,0,2,1,23,8,7.2087
203,Stephen,England,2,1.35,5,2,0,0,42,11,7.1673
32,Adam,Green,1,4.81,3,0,2,26,23,6,7.1259
261,Bertha,Smith,1,3.61,6,0,0,72,53,14,6.9871
447,Marie,Wilborn,3,4.28,4,0,0,6,32,7,6.9138
418,Dale,Castellano,1,4.99,4,0,0,0,46,6,6.9092
144,Jeffery,Bennett,1,3.35,2,1,0,120,43,8,6.8558
239,Michael,Beard,2,2.12,3,0,0,0,26,13,6.7494
53,Bobby,Fulcher,2,1.87,7,2,0,0,45,5,6.7443
289,April,Blair,3,3.69,2,0,0,0,20,7,6.7383
582,Penny,Pennell,1,2.41,1,1,0,7,53,4,6.7354
453,Nancy,Donze,3,1.89,7,2,1,3,20,4,6.6925
553,Justin,Avitia,3,1.14,4,2,0,2,38,12,6.6646
514,Cythia,Adams,3,0.93,2,2,0,3,33,14,6.6313
564,Dion,Jaudon,3,3.6,0,0,2,20,25,6,6.6
274,Helen,Harrison,2,3.76,3,1,1,72,30,4,6.5728
583,Kelly,Gomez,2,4.56,7,1,2,120,34,4,6.5014
362,Stacey,Hill,2,3.83,7,0,0,8,49,9,6.443
14,Steven,Niles,2,1.67,0,1,0,46,35,12,6.4055
482,Roxann,Bliler,2,3.21,5,0,0,0,40,9,6.3033
264,William,Kurth,3,1.49,7,1,1,2,52,14,6.2531
466,Mario,Paynter,3,2.86,5,0,3,0,32,8,6.24
433,James,Atkins,3,1.86,7,1,3,7,19,9,6.1806
252,Stephane,Lomonaco,3,2.33,3,1,0,1,24,4,6.0865
459,Daniel,Brooks,2,3.16,5,1,0,46,31,5,6.0272
412,Heather,Jorstad,1,2.42,6,1,2,3,32,4,6.0083
485,Amber,Payne,2,1.64,6,1,0,1,52,11,5.9945
554,Cheryl,Boyd,2,1.99,7,0,3,3,47,13,5.8721
31,Joe,Spencer,3,3.52,0,0,0,46,30,8,5.7863
70,Kristina,Renteria,1,2.14,3,0,3,1,45,9,5.7649
483,Erika,Tubbs,2,4.39,0,0,2,2,30,3,5.707
304,Chris,Peach,1,2.18,2,0,0,3,28,10,5.687
366,Leroy,Francis,2,1.41,3,1,1,3,54,9,5.64
127,David,Willis,3,2.85,5,0,0,0,44,9,5.5964
16,Robert,Bleau,3,2.13,4,2,1,120,43,6,5.5565
113,Jan,Smolen,2,3.99,4,0,4,120,35,8,5.5513
477,Robert,Maldonado,2,4.48,4,0,5,72,24,5,5.5446
424,Donald,Shipman,1,1.02,5,2,0,8,20,13,5.5381
79,Vida,Slack,2,4.28,3,0,0,17,27,6,5.5226
559,Kathleen,Sherman,1,3.5,2,0,0,5,30,6,5.4783
494,Krystal,Carpentieri,3,3.38,4,0,0,1,34,7,5.46
196,Michael,Pretty,3,1.11,0,2,0,5,42,3,5.439
73,Travis,Smith,2,1.32,5,2,3,26,47,7,5.4092
259,Neva,Yang,2,3.88,4,0,0,2,21,6,5.3723
40,Claire,Barajas,3,1.84,3,2,2,72,29,4,5.2977
567,George,Mccutcheon,2,4.31,3,0,3,0,36,3,5.2776
426,Kelly,Mayorga,1,1.91,5,0,0,7,34,13,5.155
576,Merle,Hargenrader,1,1.34,3,2,0,46,54,8,5.0896
335,Vivian,Moffatt,2,1.63,2,0,0,20,42,14,5.0711
133,Kathy,Sloan,2,2.06,7,0,0,8,33,13,5.0056
428,Lucille,Young,3,0.71,0,2,0,17,37,14,4.9761
301,Jennifer,Ross,2,1.21,0,1,0,0,51,7,4.961
189,Paul,Hansen,1,2.46,6,1,0,0,45,3,4.92
388,Maureen,Young,3,1.01,3,2,3,46,45,12,4.9151
469,Dorothy,Shaw,3,2.38,4,0,0,46,48,12,4.8682
348,Teresa,Tate,3,0.91,3,1,3,0,22,13,4.8286
404,Dorothy,Goud,2,1.96,7,2,0,35,22,2,4.8085
256,Laura,Fike,3,2.67,3,0,5,0,49,4,4.7951
74,Joseph,Berry,2,2.76,4,0,0,26,25,9,4.7769
441,Jeanette,Gilley,3,0.82,5,2,2,0,20,12,4.7709
497,Lorena,Garrett,1,1.41,6,2,0,5,25,3,4.7648
61,Bernice,Utecht,3,3.75,6,1,1,120,23,3,4.7449
200,Faith,Moore,2,1.2,1,2,1,14,40,2,4.7407
276,Billy,Emrich,3,3.45,5,0,2,26,31,6,4.6422
226,Michael,Koeneman,1,1.63,3,0,2,8,34,11,4.6215
407,Linda,Reeves,1,1.69,2,1,0,35,24,7,4.6193
270,Jeffrey,Thompson,2,1.74,5,1,2,0,49,4,4.5556
422,Susan,Romero,3,2.82,0,0,2,0,27,4,4.512
216,Walter,Mcqueen,3,3.41,7,0,0,35,49,8,4.3648
509,James,Graham,1,3.02,4,0,3,120,50,9,4.333
333,Margaret,Bauman,3,2.63,3,1,0,72,30,4,4.327
437,Sandy,Archuleta,3,2.75,6,0,2,72,43,10,4.3088
478,Robert,Kenney,1,2.83,6,0,2,1,47,6,4.2938
312,Nicole,Campbell,1,1.18,3,1,3,0,34,6,4.2384
393,Robert,Mcneese,1,1.13,7,1,0,2,32,12,4.1495
11,Brenda,Rhodes,2,3.53,3,1,0,120,38,2,4.1249
299,Christoper,Rodriguez,1,0.94,1,1,0,1,50,9,4.1098
354,Larry,Dusenbery,2,4.84,4,0,1,4,33,3,4.0954
125,Jewel,Kinard,3,2.46,2,0,4,8,36,4,4.0
357,Sharon,Wallace,2,2.24,3,1,1,72,24,4,3.9157
389,Armando,Hanes,2,2.26,5,0,2,7,28,7,3.91
308,Michelle,Bennett,1,1.61,4,1,2,20,31,4,3.864
322,Charles,Dodson,2,2.92,2,0,0,0,33,5,3.8087
332,Geneva,Schwartz,1,1.2,6,0,2,2,30,14,3.8069
487,Claude,Eaker,3,3.87,7,0,0,0,21,5,3.8066
126,Michele,Gomez,1,1.3,2,0,0,8,34,12,3.8049
62,Michael,Riley,3,1.26,3,0,1,14,25,13,3.7846
552,Thomas,Lightfoot,3,0.86,0,1,0,4,48,8,3.784
47,Fred,Hernandez,3,0.76,0,2,0,35,53,9,3.7719
190,James,Baker,1,0.93,3,2,0,0,34,3,3.72
78,Mary,Searle,1,2.3,6,1,0,1,42,1,3.6483
573,Toby,Shelby,3,2.65,6,1,0,46,50,2,3.6073
52,William,Torres,1,1.39,4,0,0,35,25,14,3.5382
555,Brenda,Mellott,1,1.14,6,2,1,3,36,1,3.5379
287,Shelly,Lockett,2,1.86,6,0,2,35,27,10,3.5133
140,Jose,Vannatten,3,1.17,4,0,0,3,23,13,3.51
411,Alice,Hudson,3,0.66,5,2,0,0,33,11,3.504
481,Louise,Canty,2,0.9,1,2,0,35,49,5,3.4737
251,Shane,Austin,2,2.85,3,0,1,17,38,5,3.4731
457,Leroy,Mcdermott,2,2.17,4,0,0,20,21,8,3.472
98,Florence,Moore,2,0.79,7,2,0,0,50,9,3.4708
371,Robert,Smith,1,1.73,3,0,0,0,33,8,3.3894
152,Annie,Smith,1,2.19,1,1,0,46,47,1,3.2814
137,Thomas,Hearnsberger,1,1.49,1,1,1,20,22,2,3.2722
96,Ronald,Fletcher,1,1.12,6,1,1,35,42,10,3.2356
108,Russell,Trumbore,1,0.5,1,2,0,11,20,12,3.2068
372,Peter,Scanlan,1,1.37,5,0,1,1,31,10,3.1884
23,Catherine,Kramer,2,1.18,0,0,3,1,41,7,3.186
134,Vanessa,Scharfenberg,1,2.18,5,1,0,46,32,2,3.0888
66,Brandon,Oldham,1,1.6,4,0,0,26,47,10,3.0769
59,John,Leung,3,1.06,0,0,4,0,52,7,3.074
241,Anika,Roberts,2,4.24,7,0,0,17,30,4,3.0018
202,Lidia,Sweeney,1,0.4,0,2,4,1,48,9,3.0
438,Carl,Jackson,2,0.58,2,2,2,0,45,5,2.9757
314,Samantha,Willis,2,0.61,5,2,1,35,34,14,2.9704
386,Craig,Solis,1,1.57,4,0,0,0,53,8,2.8985
223,Ashley,Kuehne,2,2.78,6,0,0,0,40,5,2.8759
588,Maria,Batts,3,1.13,1,1,5,120,44,7,2.7773
161,Fred,Moore,2,0.68,7,1,0,5,54,14,2.7646
530,Rhonda,Lopez,3,0.99,1,0,0,1,28,10,2.7628
43,Roger,Greenhoward,3,0.81,6,1,0,20,51,12,2.7491
243,Susan,Kline,3,2.57,7,0,0,72,40,8,2.7474
5,Deborah,Essary,3,3.45,2,0,0,0,34,3,2.7
534,Misty,Kim,3,0.97,1,1,0,20,20,5,2.6627
86,Deborah,Twyman,1,1.46,5,1,1,1,34,1,2.6545
390,Melvin,Posadas,3,2.19,1,0,0,17,47,5,2.6386
260,Lucille,Collins,3,1.0,7,1,0,35,30,9,2.5067
375,Valerie,White,2,1.26,5,1,2,0,48,1,2.4742
277,Tamika,Bernard,3,0.59,2,1,0,4,31,9,2.4113
379,Eva,Kutch,1,0.85,7,1,0,14,22,9,2.3994
199,Stephanie,Holt,1,0.64,5,1,0,20,37,13,2.3975
64,Brittany,Penick,3,1.63,3,0,0,3,25,6,2.3951
88,Pamela,Hopper,1,0.94,5,1,5,17,54,3,2.3728
468,Robert,Alvarez,2,1.05,4,0,1,26,53,11,2.3558
597,Elizabeth,Waring,3,0.91,7,0,0,2,47,13,2.3272
532,Cruz,Winslow,3,0.85,6,2,0,14,43,1,2.2987
548,Brian,Richards,3,2.69,5,0,0,7,25,4,2.2339
269,Joanne,Ham,1,1.07,4,0,0,2,26,9,2.2223
63,James,Long,3,0.47,3,2,2,35,42,10,2.2083
253,Stanley,Watson,2,0.63,7,2,0,14,42,6,2.1946
526,Noel,Besecker,3,1.13,4,1,1,2,43,1,2.1731
434,Betty,Sanders,2,2.12,7,0,0,26,32,6,2.1378
136,Helen,Broten,3,0.79,7,1,0,2,21,7,2.1239
228,David,Jimenez,1,3.92,3,0,2,8,49,1,2.1027
512,Beverly,Lewis,3,0.82,6,1,1,5,49,5,2.0924
541,Sheila,Hart,2,1.14,1,1,0,35,45,2,2.08
80,Brenda,Anderson,2,1.68,4,1,1,120,34,2,2.0452
188,David,Zabawa,1,0.42,4,1,0,3,26,14,2.0031
262,Randall,Rogers,3,1.03,6,0,2,17,28,9,1.971
473,Gloria,Pool,1,0.95,2,1,2,17,31,1,1.9432
537,Cindy,Tomlinson,3,0.88,7,0,0,26,42,13,1.9227
311,Robert,Reddick,1,2.18,5,0,0,0,23,4,1.9025
278,Jacob,Grimes,3,0.49,6,1,0,0,34,12,1.8924
510,Tarah,Williams,2,3.32,7,0,1,120,44,4,1.8408
250,Richard,Roberge,2,0.85,7,0,0,3,53,11,1.8393
291,Jennifer,Oberry,2,1.29,7,0,0,20,35,8,1.7948
192,Rebecca,Castillo,1,0.44,2,2,3,7,48,1,1.7672
326,Rose,Cowan,3,0.78,2,0,1,2,48,8,1.7635
178,Wayne,Wilkes,1,2.11,4,0,0,14,24,4,1.7583
132,Paul,Leon,2,0.32,1,2,0,1,39,6,1.7265
160,Leona,Townsend,3,0.26,0,2,0,14,44,11,1.6649
495,Paulette,Rodriquez,3,0.42,4,2,4,6,31,1,1.6477
503,Mildred,Chouinard,3,0.8,5,0,2,0,37,8,1.6291
71,Susan,Gilbert,2,0.54,4,1,5,2,50,3,1.62
522,Sheila,Barclay,1,1.36,7,1,0,72,23,2,1.5751
72,Javier,Haro,1,2.17,7,0,1,2,36,3,1.5652
594,Erika,Feldkamp,1,0.41,3,2,1,1,26,1,1.5061
254,Diane,Palmer,3,4.34,6,0,1,1,28,1,1.4966
177,Louise,Pitonyak,2,0.83,4,1,0,1,21,1,1.4685
271,Donald,Thomas,2,0.36,5,2,0,1,41,5,1.44
248,Rodney,Clark,3,0.42,5,1,0,0,42,9,1.4356
2,John,Dole,2,0.8,6,1,0,17,35,3,1.4321
163,Margaret,Macha,1,0.46,5,0,0,2,32,14,1.4051
341,Sharon,Thompson,1,0.68,5,0,5,5,54,6,1.3847
33,John,Marana,1,0.28,2,1,0,4,51,12,1.3635
77,Ian,Mccurren,3,0.85,3,1,4,72,19,1,1.3548
527,Manuel,Teel,3,0.91,1,0,0,17,38,6,1.3157
173,Mark,Jones,1,3.55,7,0,0,11,46,2,1.3028
423,Lorraine,Conrad,3,0.85,7,0,0,46,27,10,1.2846
446,Janet,Reeves,1,0.58,6,1,0,1,34,4,1.28
368,Jeremy,Ruiz,3,2.84,0,0,0,120,42,3,1.278
462,Mary,Schultz,2,2.42,3,0,2,72,51,2,1.2442
493,Lynn,Coelho,2,0.43,7,1,0,11,40,9,1.2361
353,Charles,Harrison,2,1.06,6,1,1,72,36,1,1.2212
549,Mildred,Dominguez,3,2.1,7,0,2,72,23,3,1.216
479,Glenn,Stephens,2,0.7,6,0,0,46,39,11,1.2094
